Dev_trial_stress,X,Delta_p,Delta_X,sigma
1.3479999999999999,0.0,0.0,0.0,2.022
2.6959999999999997,0.0,0.0,0.0,4.044
4.044,0.0,0.0,0.0,6.065999999999999
5.3919999999999995,0.0,0.0,0.0,8.088
6.74,0.0,0.0,0.0,10.11
8.088000000000001,0.0,0.0,0.0,12.132
9.436,0.0,0.0,0.0,14.154
10.783999999999999,0.0,0.0,0.0,16.176
12.131999999999998,0.0,0.0,0.0,18.197999999999997
13.479999999999997,0.0,0.0,0.0,20.219999999999995
14.827999999999996,0.0,0.0,0.0,22.241999999999994
16.175999999999995,0.0,0.0,0.0,24.263999999999992
17.523999999999994,0.0,0.0,0.0,26.28599999999999
18.871999999999993,0.0,0.0,0.0,28.30799999999999
20.21999999999999,0.0,0.0,0.0,30.329999999999988
21.567999999999994,0.0,0.0,0.0,32.35199999999999
22.915999999999993,0.0,0.0,0.0,34.37399999999999
24.263999999999992,0.0,0.0,0.0,36.39599999999999
25.61199999999999,0.0,0.0,0.0,38.417999999999985
26.95999999999999,0.0,0.0,0.0,40.43999999999998
28.30799999999999,0.0,0.0,0.0,42.46199999999998
29.655999999999988,0.0,0.0,0.0,44.48399999999998
31.003999999999987,0.0,0.0,0.0,46.50599999999998
32.35199999999999,0.0,0.0,0.0,48.52799999999998
33.69999999999999,0.0,0.0,0.0,50.549999999999976
35.04799999999999,0.0,0.0,0.0,52.571999999999974
36.39599999999999,0.0,0.0,0.0,54.59399999999997
37.743999999999986,0.0,0.0,0.0,56.61599999999997
39.091999999999985,0.0,0.0,0.0,58.63799999999997
40.43999999999998,0.0,0.0,0.0,60.65999999999997
41.78799999999998,0.0,0.0,0.0,62.68199999999997
43.13599999999998,0.0,0.0,0.0,64.70399999999997
44.48399999999998,0.0,0.0,0.0,66.72599999999997
45.83199999999999,0.0,0.0,0.0,68.74799999999998
47.17999999999999,0.0,0.0,0.0,70.76999999999998
48.52799999999999,0.0,0.0,0.0,72.79199999999999
49.876,0.0,0.0,0.0,74.814
51.224000000000004,0.0,0.0,0.0,76.836
52.572,0.0,0.0,0.0,78.858
53.92000000000001,0.0,0.0,0.0,80.88000000000001
55.268000000000015,0.0,0.0,0.0,82.90200000000002
56.616000000000014,0.0,0.0,0.0,84.92400000000002
57.96400000000002,0.0,0.0,0.0,86.94600000000003
59.312000000000026,0.0,0.0,0.0,88.96800000000003
60.660000000000025,0.0,0.0,0.0,90.99000000000004
62.00800000000003,0.0,0.0,0.0,93.01200000000004
63.35600000000004,0.0,0.0,0.0,95.03400000000005
64.70400000000004,0.0,0.0,0.0,97.05600000000005
66.05200000000005,0.0,0.0,0.0,99.07800000000006
67.40000000000005,0.0,0.0,0.0,101.10000000000007
68.74800000000005,0.0,0.0,0.0,103.12200000000007
70.09600000000006,0.0,0.0,0.0,105.14400000000008
71.44400000000006,0.0,0.0,0.0,107.16600000000008
72.79200000000006,0.0,0.0,0.0,109.18800000000009
74.14000000000007,0.0,5.015749912039839e-07,0.0010365311263649355,111.17619384559295
75.46546256372864,0.0010365311263649355,5.492250010269093e-06,0.011343170855205897,112.82801619490081
76.56667746326721,0.012379701981570833,1.320977591412293e-05,0.027242629322904062,113.95967729828894
77.3211181988593,0.03962233130447489,1.964819846042393e-05,0.040433252538296584,114.65738872205637
77.78625914803759,0.08005558384277148,2.377716017382814e-05,0.048802437799016274,115.07680812634035
78.06587208422691,0.12885802164178775,2.6119899870928737e-05,0.05345730002576121,115.33832687503975
78.24021791669318,0.18231532166754896,2.737329631164925e-05,0.05585433529889064,115.5153667036346
78.35824446908974,0.2381696569664396,2.8025415021947598e-05,0.057009214902476346,115.64845373115534
78.44696915410357,0.29517887186891595,2.8360719434087136e-05,0.0575118715428144,115.75894124129788
78.52062749419859,0.35269074341173035,2.8532814676624207e-05,0.05767982399003102,115.8578295320934
78.58655302139562,0.41037056740176137,2.862176099765202e-05,0.057678038109701846,115.95072284085167
78.64848189390112,0.4680486055114632,2.866857796156733e-05,0.05759076778507355,116.04046068624204
78.70830712416137,0.5256393732965368,2.869410551143651e-05,0.057460682592288315,116.12847797477123
78.76698531651417,0.5831000558888251,2.870888698546499e-05,0.05730930138509571,116.2154989919509
78.82499932796728,0.6404093572739208,2.871824533041581e-05,0.057147453510883794,116.30188925668088
78.88259283778726,0.6975568107848046,2.8724865130648667e-05,0.05698058293424013,116.38783334687517
78.93988889791679,0.7545373937190447,2.8730099653999917e-05,0.056811424720063064,116.47342463019558
78.99694975346372,0.8113488184391078,2.8734630908699107e-05,0.056641352386960886,116.55871050694927
79.05380700463286,0.8679901708260687,2.8738802576381162e-05,0.056471055370909684,116.64371521330118
79.11047680886746,0.9244612261969783,2.8742787846001424e-05,0.056300879464057374,116.72845131248069
79.1669675416538,0.9807621056610357,2.874667399658329e-05,0.056130997844536235,116.81292548511098
79.22328365674066,1.036893103505572,2.8750505018781044e-05,0.05596149698775643,116.89714144684514
79.2794276312301,1.0928546004933284,2.87543030909989e-05,0.05579241981906802,116.98110141851183
79.33540094567456,1.1486470203123964,2.875807940065162e-05,0.05562378738882656,117.06480686690792
79.39120457793862,1.204270807701223,2.8761839596768464e-05,0.05545560975962438,117.14825887808573
79.44683925205716,1.2597264174608473,2.876558653749912e-05,0.05528789147497326,117.2314583454583
79.50230556363887,1.3150143089358206,2.8769321674580854e-05,0.05512063430629821,117.31440606459155
79.55760404306105,1.3701349432421188,2.8773045750992784e-05,0.054953838632839425,117.39710278097465
79.61273518731645,1.4250887818749582,2.877675915252189e-05,0.05478750413482847,117.47954921409467
